date,Hifi Finance crypto,Unibot crypto,Akropolis crypto,Nest Protocol crypto,Groestlcoin crypto,isPartial,BlockBank crypto,Symbol crypto,Dusk Network crypto,Metal crypto,Merit Circle crypto,isPartial,NvirWorld crypto,Automata Network crypto,Wing Finance crypto,Helium crypto,SafePal crypto,isPartial,Cronos crypto,TrueFi crypto,Swop.fi crypto,Voyager Token crypto,Render Token crypto,isPartial,IoTeX crypto,Midnight crypto,Numeraire crypto,SPACE ID crypto,Ambrosus crypto,isPartial,My Neighbor Alice crypto,Gods Unchained crypto,Kadena crypto,Bella Protocol crypto,Bluzelle crypto,isPartial,Polkastarter crypto,Solana crypto,Santos FC Fan Token crypto,aelf crypto,Prosper crypto,isPartial,Pendle crypto,FIO Protocol crypto,BarnBridge crypto,1inch Token crypto,Arkham crypto,isPartial,Unifi Protocol DAO crypto,Audius crypto,JOE crypto,Atletico Madrid Fan Token crypto,Gitcoin crypto,isPartial,Open Campus crypto,Verge crypto,Reef Finance crypto,Ren crypto,SOLVE crypto,isPartial
2023-02-18,0,22,27,0,0,False,0,30,0,16,0,False,0,0,0,21,0,False,0,28,0,0,0,False,0,24,12,0,0,False,0,0,24,0,0,False,0,24,0,0,0,False,7,9,0,0,0,False,0,13,16,0,0,False,0,0,0,0,55,False
2023-02-19,0,0,0,0,27,False,0,17,0,0,0,False,0,0,0,57,0,False,20,18,0,0,0,False,0,12,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,6,0,0,0,0,False,0,13,32,0,0,False,70,0,0,0,0,False
2023-02-20,0,0,0,0,0,False,14,0,0,0,0,False,0,0,0,44,0,False,68,0,0,30,0,False,0,22,0,0,0,False,0,0,26,0,0,False,0,38,0,0,0,False,0,0,0,0,0,False,0,11,17,0,0,False,15,11,0,0,0,False
2023-02-21,0,0,24,0,0,False,0,40,0,0,0,False,0,0,0,51,0,False,100,0,0,31,0,False,27,12,28,0,0,False,0,0,0,0,0,False,4,35,0,0,0,False,10,0,9,0,0,False,0,0,0,0,0,False,0,0,0,21,0,False
2023-02-22,0,0,0,0,0,False,39,0,0,16,19,False,0,0,29,0,0,False,0,15,0,0,34,False,0,0,19,0,0,False,0,19,0,0,0,False,0,19,0,0,4,False,0,0,0,7,0,False,0,0,25,0,0,False,16,0,0,34,0,False
2023-02-23,0,0,0,0,0,False,0,14,0,0,0,False,0,0,0,37,0,False,0,0,0,0,0,False,12,10,0,0,0,False,10,0,0,17,16,False,0,21,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,34,False
2023-02-24,0,0,0,0,0,False,0,0,0,18,0,False,0,0,0,62,43,False,37,0,0,0,0,False,0,0,0,0,20,False,11,30,11,18,0,False,0,19,0,0,0,False,0,4,0,0,9,False,0,17,0,0,14,False,0,0,0,14,47,False
2023-02-25,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,42,0,False,0,0,0,0,0,False,0,0,0,14,0,False,0,0,17,0,0,False,0,26,0,0,0,False,0,0,0,0,0,False,0,0,20,0,0,False,0,0,0,17,25,False
2023-02-26,0,0,19,0,18,False,0,67,14,15,17,False,0,0,0,0,21,False,0,0,0,0,18,False,0,0,12,0,25,False,26,0,28,0,0,False,5,24,0,0,0,False,0,7,0,11,0,False,0,0,20,0,0,False,0,46,0,21,0,False
2023-02-27,0,0,0,0,0,False,0,0,20,47,15,False,0,0,0,0,0,False,28,0,0,0,0,False,0,0,0,0,0,False,0,0,13,0,0,False,0,26,0,0,0,False,0,0,0,0,5,False,13,35,0,0,57,False,0,0,0,0,16,False
2023-02-28,0,0,0,0,16,False,13,0,0,0,0,False,0,0,15,0,24,False,30,0,0,29,0,False,0,23,0,0,0,False,20,13,31,0,0,False,4,20,0,0,0,False,0,0,0,9,0,False,0,0,11,0,0,False,0,0,17,10,10,False
2023-03-01,0,0,0,0,0,False,0,11,0,38,0,False,0,0,0,19,0,False,0,25,0,0,0,False,0,0,0,0,0,False,19,0,0,0,0,False,0,19,0,0,0,False,0,0,0,0,0,False,0,0,35,0,0,False,0,34,0,24,12,False
2023-03-02,0,0,0,0,18,False,0,22,0,0,0,False,0,0,0,0,61,False,0,0,0,0,0,False,0,0,0,0,8,False,20,0,0,50,0,False,0,25,0,0,0,False,0,0,0,0,9,False,0,0,0,0,13,False,12,0,0,41,0,False
2023-03-03,20,0,21,26,31,False,0,31,47,18,0,False,0,0,21,0,0,False,40,17,0,47,0,False,0,0,0,0,0,False,0,0,0,0,25,False,0,6,0,0,0,False,0,0,12,0,0,False,0,0,20,0,0,False,0,0,18,0,12,False
2023-03-04,0,50,0,0,0,False,0,0,0,0,17,False,0,22,0,50,0,False,0,0,0,0,61,False,0,0,0,0,0,False,0,0,0,0,0,False,0,14,0,5,0,False,0,0,6,4,0,False,15,0,0,0,0,False,0,31,0,13,0,False
2023-03-05,0,0,0,0,0,False,0,17,13,13,0,False,0,0,0,37,0,False,0,61,0,0,0,False,0,9,0,12,0,False,0,0,0,0,18,False,0,16,0,0,0,False,0,0,5,0,0,False,0,52,0,0,11,False,0,0,0,13,0,False
2023-03-06,0,0,0,0,0,False,16,0,0,0,22,False,0,0,15,60,47,False,0,0,0,0,0,False,0,0,0,0,9,False,16,0,0,0,0,False,0,19,0,0,2,False,0,0,0,0,0,False,13,0,0,0,0,False,9,0,0,10,15,False
2023-03-07,0,0,0,0,27,False,0,17,0,0,0,False,0,0,0,0,0,False,38,36,0,0,47,False,0,0,12,0,0,False,0,0,36,0,16,False,0,16,0,0,0,False,0,0,5,0,0,False,0,0,26,0,0,False,0,0,0,12,0,False
2023-03-08,0,21,0,0,0,False,0,18,0,64,53,False,0,0,0,0,0,False,31,26,0,15,57,False,0,0,0,17,9,False,0,0,16,0,0,False,0,25,0,0,0,False,0,5,0,0,0,False,0,16,18,0,19,False,15,0,0,16,0,False
2023-03-09,0,0,0,0,0,False,0,0,0,24,0,False,0,0,0,0,0,False,19,0,0,0,25,False,0,0,0,0,0,False,0,0,0,0,0,False,0,16,0,0,0,False,13,5,0,0,0,False,0,0,40,0,0,False,0,0,0,0,0,False
2023-03-10,0,33,24,45,0,False,0,20,12,0,0,False,0,0,0,46,0,False,0,0,0,0,0,False,0,0,0,0,10,False,0,0,14,19,0,False,0,21,0,0,0,False,0,0,7,6,0,False,9,10,0,0,0,False,22,0,27,23,0,False
2023-03-11,0,0,0,0,0,False,0,0,0,14,17,False,0,0,0,45,30,False,18,54,0,0,26,False,0,13,0,15,26,False,0,0,0,12,0,False,0,17,0,0,0,False,0,0,0,0,0,False,0,0,11,0,0,False,0,0,38,0,0,False
2023-03-12,0,0,18,29,0,False,0,24,0,0,0,False,0,0,0,0,0,False,50,0,0,0,0,False,0,0,0,0,20,False,0,0,0,0,0,False,5,17,0,0,0,False,0,0,5,0,0,False,10,30,33,0,0,False,0,0,0,16,0,False
2023-03-13,0,44,26,39,0,False,0,0,22,0,0,False,0,0,0,21,26,False,0,0,0,0,0,False,0,8,0,0,0,False,0,14,15,0,0,False,0,17,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,23,11,0,15,10,False
